Critic,5,100,FALSE,100,Austin Chronicle,Just about as great as a movie's ever gonna be... As for the storytellng, The Godfather is an intricately constructed gem that simultaneously kicks ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,ReelViews,The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion... It was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,The Hollywood Reporter,Director Francis Ford Coppola, with a strong assist from cameraman Gordon Willis, has done an extraordinary job of capturing period and place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,100,Chicago Sun-Times,The wedding sequence... is a virtuoso stretch of filmmaking: Coppola brings his large cast onstage so artfully that we are drawn at once into the Godfather's world.,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,San Francisco Chronicle,In scene after scene -- the long wedding sequence, John Marley's bloody discovery in his bed, Pacino nervously smoothing down his hair before a restaurant massacre, the godfather's collapse in a garden -- Coppola crafted an enduring, undisputed masterpiece. [21 Mar 1997, Daily Datebook, p.C3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,The New York Times,One of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment. [16 Mar 1972],""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,Washington Post,A great American picture, full of incredible images and lasting moments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,L.A. Weekly,The Godfather traces the arc of this doomed idealism with a beauty that is still fresh.,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,100,Chicago Reader,Sharp, entertaining, and convincing--discursive, but with a sense of structure and control that Coppola hasn't achieved since.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,Los Angeles Times,Overflowing with life, rich with all the grand emotions and vital juices of existence, up to and including blood. And its deaths," like that of Hotspur in ""Henry IV", Part I,, I recommend this film for people looking for a good, and unusual, drama film.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,buttpoopeyfart,This movie is kinda really bad I mean who even is this godfather guy? he's not my godfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,FALSE,6,x_superepico,good, but overrated, is boring, simple and weak, is good, but doesn't attract you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,MikeC.,The movie is perfect. Everyone who gave it a 0 are probably the same people that watch Fox News and think global warming is fake so there is no point in arguing. Either you know movies or you don't.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,KyleF.,Great Movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,MrLikeable,The Godfather trilogy (and I'm one of the few who rates III up there with I and II) finds a wonderful balance between a well-paced story and some terrific crisis moments for its characters. For those who may be concerned about whether or notThe Godfather trilogy (and I'm one of the few who rates III up there with I and II) finds a wonderful balance between a well-paced story and some terrific crisis moments for its characters. For those who may be concerned about whether or not they will enjoy it, I'd suggest watching The Godfather (Part I) while keeping in mind that this is a story about Michael wanting to go straight, to be good. To society and to his family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,9,auburnn,Unexpected death constantly interrupted by elegant music and scenes of rose garden. It is a little bit annoying how dumb women in this movie appear to be.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,TRUE,4,mailordermonstr,You know how when a friend is telling you a personal anecdote that he thinks is hilarious, but you don't find very funny," he'll say ""you had to have been there."" That's kind of how I feel about The Godfather. By the time I watched this movieYou know how when a friend is telling you a personal anecdote that he thinks is hilarious", but you don't find very funny," he'll say ""you had to have been there."" That's kind of how I feel about The Godfather. By the time I watched this movie I'd seen so many impersonations of Don Corleone and parodies that it all felt almost comical.  Putting all that aside (if that's even possible)", I still didn't enjoy this movie. I found myself checking how much more I had to sit through multiple times. And having seen what Al Pacino is capable of, he seems very wooden in this.  My conclusion is that if you managed to see this movie before pop culture appropriated it and fed you their versions, then you'll likely love it. If like me you weren't around in the 70's, you might not get that much from it. In other words, you had to have been there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Bonnyscotty,Absolutely,  positively the greatest movie ever made. Every frame is perfection from start to finish. It will never be bettered. There is nothing more to add.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,goggomobile,This movie does not deserve a perfect score.  It's a boring overrated movie, seriously, how can anyone understand what Brando is saying with all that cotton wool in his mouth, let alone get away with it, he must have been laughing all the wayThis movie does not deserve a perfect score.  It's a boring overrated movie, seriously, how can anyone understand what Brando is saying with all that cotton wool in his mouth, let alone get away with it, he must have been laughing all the way to the bank and taking the p@ss out of everyone with this movie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,RexG.,Thanks to Marlon Brando who made this movie the best of all times up to date. It keeps getting better the more often you watch it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,KarlK.,Best movie ever!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,10,Riren,If this movie seems slow to you, you've probably been watching too much contemporary television. This is how movies ought to be paced - organically, and earning their progress. When The Godfather is slow, it's because it's If this movie seems slow to you, you've probably been watching too much contemporary television. This is how movies ought to be paced - organically, and earning their progress. When The Godfather is slow, it's because it's trying to share something with us, either a nuance, or a bit of great acting that deserves a few more seconds of screen time. The cast is amazing. The score is famous for a reason. Its scenes became cliche for a reason. It won't make you feel better about the world, but damn is this a great example of storytelling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,NestorT.,this movie is perfect just for the LOOSERS that do not not understand a msterpice go ahead and see some homo intented film like the lord of the rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,9,sinadoom,It's easy to see why this is the highest rated film. The acting is on another level, the directing is not only gripping and atmospheric but it doesn't cut from one thing to another. Everything that's important is shown, all the dialogue, allIt's easy to see why this is the highest rated film. The acting is on another level, the directing is not only gripping and atmospheric but it doesn't cut from one thing to another. Everything that's important is shown, all the dialogue, all the detail. The story is obviously what makes this film so great. Although not an action movie, some of the scenes make the typical modern Hollywood blockbuster look laughable. The film is not only well-directed and clever, but also easy to follow. The story isn't over-complicated with a bundle of events which have no connection. The only reason I'm not giving it a 10 is because it's over 3 hours, and for a film that long you'd expect more to happen. The film can be cut down by about half an hour without losing any narrative or quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Annoymous1,The best movie in Metacritic really is a great movie. Francis Ford Coppola made and aced a great film which is better than his sequels. Really well thought and made into a top hit Mafia-detective movie. One of Ford's best movies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
